Martian Runtime - v4.0.12
Serving UI at http://exanode-08-1:34255?auth=zMBp1i-lfZAAxkhynJCSPZUWeKfebDWLfvlTjl8Kvdk

Running preflight checks (please wait)...
2024-10-08 23:13:37 [runtime] (ready)           ID.cellranger_output_917.SC_MULTI_CS.PARSE_MULTI_CONFIG
2024-10-08 23:13:37 [runtime] (run:local)       ID.cellranger_output_917.SC_MULTI_CS.PARSE_MULTI_CONFIG.fork0.chnk0.main
2024-10-08 23:13:53 [runtime] (chunks_complete) ID.cellranger_output_917.SC_MULTI_CS.PARSE_MULTI_CONFIG
2024-10-08 23:13:53 [runtime] (ready)           ID.cellranger_output_917.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.DETECT_COUNT_CHEMISTRY
2024-10-08 23:13:53 [runtime] (run:local)       ID.cellranger_output_917.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.DETECT_COUNT_CHEMISTRY.fork0.chnk0.main
2024-10-08 23:13:53 [runtime] (ready)           ID.cellranger_output_917.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.CHECK_SINGLE_BEAM_MODE
2024-10-08 23:13:53 [runtime] (ready)           ID.cellranger_output_917.SC_MULTI_CS.SC_MULTI_CORE.COPY_VDJ_REFERENCE
2024-10-08 23:13:53 [runtime] (ready)           ID.cellranger_output_917.SC_MULTI_CS.FULL_COUNT_INPUTS.WRITE_GENE_INDEX
2024-10-08 23:13:53 [runtime] (run:local)       ID.cellranger_output_917.SC_MULTI_CS.FULL_COUNT_INPUTS.WRITE_GENE_INDEX.fork0.chnk0.main
2024-10-08 23:13:53 [runtime] (ready)           ID.cellranger_output_917.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.COUNT_GEM_WELL_PROCESSOR._BASIC_SC_RNA_COUNTER._MATRIX_COMPUTER.DISABLE_CORRECTION_FACTOR
2024-10-08 23:13:53 [runtime] (run:local)       ID.cellranger_output_917.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.COUNT_GEM_WELL_PROCESSOR._BASIC_SC_RNA_COUNTER._MATRIX_COMPUTER.DISABLE_CORRECTION_FACTOR.fork0.chnk0.main
2024-10-08 23:13:53 [runtime] (ready)           ID.cellranger_output_917.SC_MULTI_CS.SC_MULTI_CORE.SPLIT_VDJ_INPUTS
2024-10-08 23:13:53 [runtime] (ready)           ID.cellranger_output_917.SC_MULTI_CS.SC_MULTI_CORE.MAKE_FULL_CONFIG._MAKE_VDJ_CONFIG
2024-10-08 23:13:53 [runtime] (run:local)       ID.cellranger_output_917.SC_MULTI_CS.SC_MULTI_CORE.MAKE_FULL_CONFIG._MAKE_VDJ_CONFIG.fork0.chnk0.main
